Z Right -1 -12 0 110 10857 10857
Right A 2 12 110 203 1311 1201
A D9 2 -8 203 140 4165 3962
D9 D2 0 7 140 140 359 219
D2 D7 0 -5 140 78 437 297
D7 D7 0 0 78 124 156 78
D7 LShiftKey -3 7 124 952 66549 66425
LShiftKey I 2 -8 952 125 780 -172
I Space -3 4 125 93 297 172
Space A 2 3 93 140 312 219
A M -1 -6 140 187 109 -31
M Space -1 3 187 140 125 -62
Space H 2 -2 140 156 592 452
H O 1 -3 156 140 63 -93
O N -2 3 140 203 1029 889
N O 2 -3 203 140 141 -62
O R 0 5 140 202 593 453
R E 0 1 202 156 109 -93
E D -1 0 156 171 312 156
D Space -2 -1 171 141 218 47
Space T 3 -1 141 140 453 312
T O 0 -4 140 187 249 109
O Space -3 5 187 156 94 -93
Space B 1 -1 156 203 795 639
B R 2 1 203 141 156 -47
R Back 1 -9 141 156 687 546
Back E -1 10 156 125 156 0
E Space -3 -1 125 171 156 31
Space G 2 -1 171 141 374 203
G I 1 -3 141 140 203 62
I V -2 4 140 234 577 437
V E 2 1 234 171 328 94
E N -2 -3 171 156 203 32
N Space -1 2 156 141 93 -63
Space Back 4 -9 141 109 3089 2948
Back Back 0 0 109 94 187 78
Back Back 0 0 94 94 156 62
Back Back 0 0 94 94 156 62
Back Back 0 0 94 78 156 62
Back Back 0 0 78 94 156 78
Back W -1 11 94 140 2746 2652
W I 0 -6 140 171 156 16
I T 0 3 171 124 515 344
T H -1 -1 124 125 140 16
H Y 1 0 125 125 359 234
Y O 0 -3 125 203 78 -47
O U 0 2 203 156 156 -47
U Space -3 3 156 141 93 -63
Space Back 4 -9 141 125 687 546
Back Back 0 0 125 94 187 62
Back Back 0 0 94 94 156 62
Back Back 0 0 94 125 156 62
Back Space -4 9 125 188 686 561
Space Y 3 -2 188 156 1389 1201
Y O 0 -3 156 234 733 577
O U 0 2 234 203 109 -125
U Space -3 3 203 187 141 -62
Space T 3 -1 187 156 514 327
T O 0 -4 156 140 219 63
O D -1 6 140 187 281 141
