D9 D3 0 6 234 265 842 608
D3 D7 0 -4 265 218 375 110
D7 D4 0 3 218 234 405 187
D4 I -1 -4 234 140 45818 45584
I Space -3 4 140 156 296 156
Space A 2 3 156 187 468 312
A M -1 -6 187 141 140 -47
M Space -1 3 141 109 219 78
Space I 3 -4 109 109 3931 3822
I Space -3 4 109 156 281 172
Space A 2 3 156 187 1201 1045
A M -1 -6 187 156 109 -78
M Space -1 3 156 125 265 109
Space H 2 -2 125 171 266 141
H O 1 -3 171 94 280 109
O N -2 3 94 125 531 437
N O 2 -3 125 218 265 140
O U 0 2 218 203 109 -109
U R 0 3 203 172 421 218
R E 0 1 172 125 234 62
E D -1 0 125 140 219 94
D Space -2 -1 140 219 1341 1201
Space Back 4 -9 219 109 983 764
Back Back 0 0 109 94 156 47
Back Back 0 0 94 110 109 15
Back Back 0 0 110 78 172 62
Back Back 0 0 78 94 140 62
Back R -1 9 94 187 812 718
R E 0 1 187 172 124 -63
E D -1 0 172 172 250 78
D Space -2 -1 172 140 172 0
Space T 3 -1 140 125 265 125
T O 0 -4 125 109 499 374
O Space -3 5 109 171 281 172
Space B 1 -1 171 109 2309 2138
B E 2 2 109 141 249 140
E Space -3 -1 141 156 156 15
Space W 3 2 156 156 3853 3697
W I 0 -6 156 93 266 110
I T 0 3 93 125 374 281
T H -1 -1 125 125 140 15
H Space -2 2 125 93 266 141
Space U 3 -3 93 109 265 172
U Space -3 3 109 141 296 187
Space Y 3 -2 141 109 936 795
Y Back 1 -7 109 109 640 531
Back T -1 8 109 125 312 203
T O 0 -4 125 125 218 93
O D -1 6 125 218 749 624
D A 0 2 218 218 78 -140
A U 1 -6 218 93 640 422
U Back 1 -6 93 109 873 780
Back Y -1 7 109 109 328 219
Y Space -3 2 109 125 577 468
Space A 2 3 125 250 530 405
A T 1 -4 250 171 453 203
T Space -3 1 171 141 218 47
Space Y 3 -2 141 109 1498 1357
Y O 0 -3 109 187 374 265
O U 0 2 187 156 94 -93
U R 0 3 156 125 390 234
R Space -3 0 125 125 140 15
Space C 1 1 125 203 281 156
C O 2 -6 203 124 250 47
O M -2 2 124 78 249 125
M M 0 0 78 94 109 31
M E 2 4 94 156 406 312
E N -2 -3 156 109 172 16
N C 0 3 109 125 265 156
C E 2 0 125 218 234 109
E M -2 -4 218 93 546 328
M E 2 4 93 172 140 47
E N -2 -3 172 78 172 0
N T 2 1 78 140 359 281
T Space -3 1 140 171 2028 1888
Space F 2 0 171 266 514 343
F R 1 0 266 203 125 -141
R O 0 -5 203 141 234 31
O M -2 2 141 78 265 124
M Space -1 3 78 110 234 156
Space O 3 -5 110 124 3230 3120
O N -2 3 124 93 390 266
N E 2 3 93 109 296 203
E Space -3 -1 109 125 78 -31
Space O 3 -5 125 125 312 187
O F -1 5 125 141 296 171
F Space -2 0 141 109 125 -16
Space T 3 -1 109 140 359 250
T H -1 -1 140 125 125 -15
H E 1 3 125 141 405 280
E Space -3 -1 141 187 172 31
Space F 2 0 187 172 1716 1529
F I 1 -4 172 125 218 46
I N -2 2 125 109 281 156
N E 2 3 109 94 187 78
E S -1 1 94 156 312 218
S T 1 -3 156 156 156 0
T Space -3 1 156 141 312 156
Space U 3 -3 141 109 359 218
U I 0 -1 109 109 7348 7239
I Back 1 -5 109 125 1903 1794
Back N -3 7 125 125 374 249
N I 2 -2 125 125 203 78
I V -2 4 125 110 811 686
V E 2 1 110 156 156 46
E R 0 -1 156 125 141 -15
R S -1 2 125 203 265 140
S I 1 -6 203 156 296 93
I T 0 3 156 140 375 219
T I 0 -3 140 125 265 125
I E 0 5 125 78 250 125
E S -1 1 78 109 187 109
S Space -2 -2 109 171 1092 983
Space I 3 -4 171 141 452 281
I N -2 2 141 94 281 140
N Space -1 2 94 125 187 93
Space Y 3 -2 125 94 187 62
Y H -1 0 94 93 141 47
H T 1 1 93 125 171 78
T Space -3 1 125 125 141 16
Space Back 4 -9 125 109 858 733
Back Back 0 0 109 125 171 62
Back Back 0 0 125 249 375 250
Back Back 0 0 249 156 983 734
Back T -1 8 156 94 1310 1154
T H -1 -1 94 78 140 46
H E 1 3 78 94 234 156
E Space -3 -1 94 140 172 78
Space W 3 2 140 171 2122 1982
W O 0 -7 171 109 234 63
O R 0 5 109 140 234 125
R L -1 -5 140 93 390 250
L D 0 6 93 125 249 156
D Oemcomma -1 -5 125 109 2153 2028
Oemcomma Back 3 -5 109 125 499 390
Back OemPeriod -3 4 125 109 375 250
OemPeriod Space -1 5 109 125 249 140
Space LShiftKey 1 4 125 203 874 749
LShiftKey I 2 -8 203 156 125 -78
I Space -3 4 156 125 296 140
Space N 1 -2 125 93 250 125
N E 2 3 93 187 218 125
E V -2 -1 187 109 328 141
V E 2 1 109 125 124 15
E E 0 0 125 172 328 203
E Back 1 -10 172 124 484 312
Back R -1 9 124 140 608 484
R Space -3 0 140 156 187 47
Space G 2 -1 156 234 375 219
G R 1 1 234 172 140 -94
R A -1 3 172 156 328 156
A D 0 -2 156 141 327 171
D U 1 -4 141 94 156 15
U A -1 6 94 172 203 109
A T 1 -4 172 110 140 -32
T E 0 2 110 125 172 62
E D -1 0 125 140 203 78
D Space -2 -1 140 157 171 31
Space F 2 0 157 234 1483 1326
F R 1 0 234 219 124 -110
R O 0 -5 219 109 219 0
O M -2 2 109 93 234 125
M Space -1 3 93 94 187 94
Space C 1 1 94 187 312 218
C O 2 -6 187 109 203 16
O L -1 0 109 78 203 94
L L 0 0 78 93 109 31
L E 1 6 93 156 156 63
E G -1 -2 156 110 249 93
G E 1 2 110 140 188 78
E OemPeriod -2 -6 140 93 1981 1841
OemPeriod Space -1 5 93 141 249 156
Space LShiftKey 1 4 141 203 375 234
LShiftKey T 2 -5 203 172 109 -94
T R 0 1 172 171 250 78
R U 0 -3 171 94 202 31
U T 0 2 94 140 344 250
T H -1 -1 140 172 124 -16
H Space -2 2 172 140 344 172
Space B 1 -1 140 94 2433 2293
B E 2 2 94 125 281 187
E Space -3 -1 125 125 125 0
Space T 3 -1 125 140 187 62
T O 0 -4 140 125 203 63
O L -1 0 125 109 218 93
