D0 D5 0 5 78 109 281 203
D5 D6 0 -1 109 93 281 172
D6 D1 0 5 93 94 218 125
D1 Return -2 -11 94 78 718 624
Return Capital 0 12 78 93 19812 19734
Capital M -1 -7 93 94 140 47
M Capital 1 7 94 78 78 -16
Capital Y 1 -6 78 94 343 265
Y Space -3 2 94 16 312 218
Space T 3 -1 16 109 141 125
T H -1 -1 109 78 5694 5585
H I 1 -2 78 78 234 156
I R 0 4 78 78 421 343
R D -1 1 78 93 172 94
D Space -2 -1 93 78 140 47
Space S 2 2 78 93 172 94
S T 1 -3 93 78 124 31
T O 0 -4 78 78 468 390
O R 0 5 78 94 172 94
R Y 0 -2 94 62 156 62
Y Space -3 2 62 63 265 203
Space I 3 -4 63 93 687 624
I S -1 6 93 94 140 47
S Space -2 -2 94 63 140 46
Space A 2 3 63 93 141 78
A B -1 -4 93 47 109 16
B O 2 -4 47 94 265 218
O I 0 1 94 78 234 140
I Back 1 -5 78 125 437 359
Back U -1 6 125 78 733 608
U T 0 2 78 94 125 47
T Space -3 1 94 62 172 78
Space D 2 1 62 110 280 218
D E 1 0 110 109 203 93
E A -1 2 109 125 265 156
A T 1 -4 125 78 156 31
T H -1 -1 78 63 203 125
H OemPeriod -1 -3 63 62 2637 2574
OemPeriod Return 1 -3 62 62 998 936
Return Capital 0 12 62 156 920 858
Capital W 1 -2 156 93 188 32
W Capital -1 2 93 109 218 125
Capital H 0 -6 109 94 374 265
H E 1 3 94 94 203 109
E N -2 -3 94 78 94 0
N Space -1 2 78 78 218 140
Space Capital 2 4 78 110 889 811
Capital I 1 -8 110 62 94 -16
I Capital -1 8 62 109 109 47
Capital Space -2 -4 109 93 141 32
Space W 3 2 93 94 202 109
W A -1 1 94 140 250 156
A S 0 -1 140 62 281 141
S Space -2 -2 62 62 125 63
Space D1 4 3 62 125 842 780
D1 D7 0 -6 125 62 94 -31
D7 Oemcomma -3 -1 62 94 405 343
Oemcomma Space -1 4 94 78 250 156
Space Capital 2 4 78 125 1809 1731
Capital I 1 -8 125 78 110 -15
I Capital -1 8 78 94 124 46
Capital Space -2 -4 94 62 141 47
Space R 3 0 62 94 265 203
R E 0 1 94 93 203 109
E A -1 2 93 63 140 47
A D 0 -2 63 78 78 15
D Space -2 -1 78 78 343 265
Space A 2 3 78 94 702 624
A Space -2 -3 94 63 156 62
Space Q 3 3 63 110 390 327
Q U 0 -6 110 78 125 15
U O 0 -2 78 93 297 219
O T 0 4 93 78 468 375
T E 0 2 78 124 156 78
E Space -3 -1 124 78 109 -15
Space T 3 -1 78 78 234 156
T H -1 -1 78 94 187 109
H A 0 5 94 94 109 15
A T 1 -4 94 62 141 47
T Space -3 1 62 78 748 686
Space W 3 2 78 78 1872 1794
W E 0 -1 78 109 172 94
E N -2 -3 109 78 140 31
N T 2 1 78 110 156 78
T Space -3 1 110 78 110 0
Space S 2 2 78 109 374 296
S O 1 -7 109 63 109 0
O M -2 2 63 78 203 140
M E 2 4 78 78 998 920
E T 0 -2 78 93 1202 1124
T H -1 -1 93 78 93 0
H I 1 -2 78 78 234 156
I N -2 2 78 93 219 141
N G 1 1 93 109 171 78
G Space -2 1 109 63 109 0
Space L 2 -5 63 94 359 296
L I 1 1 94 63 234 140
I K -1 0 63 94 156 93
K E 1 5 94 78 109 15
E RShiftKey -2 -8 78 234 1404 1326
RShiftKey Oem1 1 1 234 140 172 -62
Oem1 Space -2 6 140 94 343 203
Space RShiftKey 1 -7 94 297 967 873
RShiftKey Oem7 1 0 297 125 234 -63
Oem7 Capital 0 11 125 124 3464 3339
Capital I 1 -8 124 78 109 -15
I Capital -1 8 78 78 140 62
Capital F 0 -4 78 78 156 78
F Space -2 0 78 78 265 187
Space Y 3 -2 78 94 702 624
Y O 0 -3 94 62 110 16
O U 0 2 62 93 109 47
U Space -3 3 93 78 156 63
Space L 2 -5 78 93 234 156
L I 1 1 93 78 218 125
I V -2 4 78 78 265 187
V E 2 1 78 78 172 94
E Space -3 -1 78 78 94 16
Space E 3 1 78 94 140 62
E A -1 2 94 156 328 234
A C -1 -2 156 78 171 15
C H 1 -3 78 94 234 156
H Space -2 2 94 63 234 140
Space D 2 1 63 125 172 109
D A 0 2 125 156 296 171
A Y 1 -5 156 62 125 -31
Y Space -3 2 62 78 250 188
Space A 2 3 78 94 140 62
A S 0 -1 94 94 218 124
S Space -2 -2 94 78 110 16
Space I 3 -4 78 93 343 265
I T 0 3 93 109 187 94
T Space -3 1 109 93 125 16
Space W 3 2 93 125 265 172
W A -1 1 125 109 234 109
A S 0 -1 109 109 203 94
S Space -2 -2 109 93 125 16
Space Y 3 -2 93 141 249 156
Y O 0 -3 141 78 187 46
O U 0 2 78 78 125 47
U R 0 3 78 110 421 343
R Space -3 0 110 78 94 -16
Space L 2 -5 78 78 265 187
L A 0 8 78 109 125 47
A S 0 -1 109 94 234 125
S T 1 -3 94 78 109 15
T Oemcomma -2 -3 78 125 3479 3401
Oemcomma Space -1 4 125 93 952 827
Space S 2 2 93 140 2246 2153
S O 1 -7 140 94 140 0
O E 0 6 94 94 250 156
E M -2 -4 94 140 78 -16
M D 1 4 140 109 359 219
D Capital 0 3 109 125 452 343
Capital Back 2 -13 125 141 936 811
Back Back 0 0 141 109 640 499
Back Back 0 0 109 94 218 109
Back M -3 6 94 78 2434 2340
M E 2 4 78 78 93 15
E Back 1 -10 78 93 2294 2216
Back Back 0 0 93 78 296 203
Back Capital -2 13 78 125 1841 1763
Capital M -1 -7 125 94 795 670
M E 2 4 94 78 125 31
E D -1 0 78 78 281 203
D A 0 2 78 78 172 94
A Y 1 -5 78 93 109 31
Y Space -3 2 93 78 359 266
Space Y 3 -2 78 125 5553 5475
Y O 0 -3 125 78 141 16
O U 0 2 78 78 109 31
U Oem7 -1 -4 78 78 749 671
Oem7 L 0 2 78 78 343 265
L L 0 0 78 78 140 62
L Space -2 5 78 78 234 156
Space M 1 -3 78 63 187 109
M O 2 -2 63 78 203 140
O S -1 7 78 94 156 78
S T 1 -3 94 78 156 62
T Space -3 1 78 94 265 187
Space C 1 1 94 78 250 156
C E 2 0 78 109 172 94
E R 0 -1 109 78 124 15
R T 0 -1 78 94 203 125
T A -1 4 94 110 187 93
A I 1 -7 110 78 203 93
I N -2 2 78 78 219 141
N L 1 -3 78 110 202 124
L Y 1 3 110 78 266 156
Y Space -3 2 78 78 249 171
Space B 1 -1 78 62 203 125
B E 2 2 62 109 94 32
E Space -3 -1 109 78 124 15
Space R 3 0 78 109 359 281
R I 0 -4 109 94 125 16
I G -1 3 94 94 156 62
G H 0 -1 94 62 125 31
H T 1 1 62 93 78 16
T OemPeriod -2 -4 93 94 1669 1576
OemPeriod Back 3 -4 94 78 1435 1341
Back RShiftKey -3 2 78 171 531 453
RShiftKey Oem7 1 0 171 156 109 -62
Oem7 OemPeriod -1 2 156 78 343 187
OemPeriod Space -1 5 78 109 234 156
Space Back 4 -9 109 140 1872 1763
Back Back 0 0 140 125 296 156
Back Back 0 0 125 140 297 172
Back OemPeriod -3 4 140 94 811 671
OemPeriod RShiftKey 0 -2 94 156 312 218
RShiftKey Oem7 1 0 156 125 109 -47
Oem7 Space -2 7 125 124 297 172
Space Capital 2 4 124 93 2761 2637
Capital I 1 -8 93 78 78 -15
I T 0 3 78 62 265 187
T Back 1 -8 62 187 624 562
Back Capital -2 13 187 78 234 47
Capital T 1 -5 78 110 530 452
T Space -3 1 110 78 141 31
Space M 1 -3 78 78 187 109
M A 1 6 78 109 125 47
A D 0 -2 109 78 265 156
D E 1 0 78 62 203 125
E R 0 -1 62 47 0 -62
R Space -3 0 47 78 78 31
Space Back 4 -9 78 124 671 593
Back Back 0 0 124 46 858 734
Back Back 0 0 46 62 62 16
Back Back 0 0 62 78 187 125
Back E -1 10 78 94 1045 967
E Space -3 -1 94 46 110 16
Space Back 4 -9 46 78 514 468
Back Back 0 0 78 94 156 78
Back D -2 10 94 78 671 577
D E 1 0 78 78 187 109
E Space -3 -1 78 78 94 16
Space A 2 3 78 94 468 390
A N -1 -5 94 47 140 46
N Space -1 2 47 78 172 125
Space I 3 -4 78 63 218 140
I M -2 1 63 78 172 109
M P 2 -3 78 78 218 140
P R 0 6 78 94 203 125
R E 0 1 94 62 203 109
E S -1 1 62 78 218 156
S S 0 0 78 94 172 94
S I 1 -6 94 63 140 46
I O 0 -1 63 62 172 109
O N -2 3 62 63 187 125
N Space -1 2 63 93 141 78
