D0 D9 0 1 156 125 93 -63
D9 D1 0 8 125 125 593 468
D1 D7 0 -6 125 78 874 749
D7 RShiftKey -3 -4 78 296 26036 25958
RShiftKey M 0 4 296 125 203 -93
M Y 2 1 125 62 187 62
Y Space -3 2 62 78 94 32
Space RShiftKey 1 -7 78 546 171 93
RShiftKey T 2 6 546 125 858 312
T H -1 -1 125 109 63 -62
H I 1 -2 109 94 327 218
I R 0 4 94 171 172 78
R D -1 1 171 109 125 -46
D Space -2 -1 109 78 93 -16
Space S 2 2 78 172 125 47
S T 1 -3 172 94 140 -32
T O 0 -4 94 62 172 78
O P 0 -1 62 46 16 -46
P R 0 6 46 156 124 78
R Back 1 -9 156 78 500 344
Back Back 0 0 78 94 436 358
Back R -1 9 94 125 375 281
R Y 0 -2 125 94 62 -63
Y Space -3 2 94 78 187 93
Space I 3 -4 78 94 1997 1919
I S -1 6 94 78 109 15
S Space -2 -2 78 78 125 47
Space A 2 3 78 94 125 47
A B -1 -4 94 78 234 140
B O 2 -4 78 140 125 47
O U 0 2 140 93 78 -62
U Space -3 3 93 94 249 156
Space Back 4 -9 94 109 843 749
Back T -1 8 109 94 405 296
T Space -3 1 94 93 141 47
Space D 2 1 93 78 140 47
D E 1 0 78 156 156 78
E A -1 2 156 125 94 -62
A T 1 -4 125 140 359 234
T H -1 -1 140 125 62 -78
H OemPeriod -1 -3 125 156 172 47
OemPeriod Return 1 -3 156 109 421 265
Return Return 0 0 109 78 265 156
Return Return 0 0 78 94 218 140
Return RShiftKey -1 1 94 188 312 218
RShiftKey W 2 9 188 94 156 -32
W H -1 -4 94 109 250 156
H E 1 3 109 78 140 31
E N -2 -3 78 78 78 0
N Space -1 2 78 78 141 63
Space RShiftKey 1 -7 78 219 140 62
RShiftKey I 2 3 219 109 125 -94
I Space -3 4 109 78 78 -31
Space W 3 2 78 94 265 187
W A -1 1 94 141 78 -16
A S 0 -1 141 109 94 -47
S Space -2 -2 109 94 93 -16
Space D1 4 3 94 109 188 94
D1 D7 0 -6 109 109 140 31
D7 Oemcomma -3 -1 109 94 1357 1248
Oemcomma Space -1 4 94 93 94 0
Space RShiftKey 1 -7 93 593 1092 999
RShiftKey I 2 3 593 93 515 -78
I Space -3 4 93 78 140 47
Space R 3 0 78 171 359 281
R E 0 1 171 125 109 -62
E A -1 2 125 156 234 109
A D 0 -2 156 109 94 -62
D Space -2 -1 109 78 124 15
Space A 2 3 78 109 141 63
A Space -2 -3 109 94 109 0
Space Q 3 3 94 93 125 31
Q U 0 -6 93 93 156 63
U O 0 -2 93 110 249 156
O T 0 4 110 141 156 46
T Space -3 1 141 94 1420 1279
Space T 3 -1 94 110 140 46
T H -1 -1 110 94 78 -32
H A 0 5 94 156 266 172
A T 1 -4 156 94 93 -63
T Space -3 1 94 93 94 0
Space W 3 2 93 156 140 47
W E 0 -1 156 109 94 -62
E N -2 -3 109 62 125 16
N T 2 1 62 78 124 62
T Space -3 1 78 93 63 -15
Space S 2 2 93 93 1763 1670
S O 1 -7 93 140 109 16
O M -2 2 140 110 93 -47
M E 2 4 110 94 94 -16
