D4 D9 0 -5 140 171 421 281
D9 D1 0 8 171 125 811 640
D1 D2 0 -1 125 172 234 109
D2 LShiftKey -3 2 172 188 20311 20139
LShiftKey W 2 -2 188 156 110 -78
W H -1 -4 156 94 171 15
H E 1 3 94 94 359 265
E N -2 -3 94 141 62 -32
N Space -1 2 141 140 188 47
Space Back 4 -9 140 94 686 546
Back Back 0 0 94 63 374 280
Back Back 0 0 63 63 156 93
Back Back 0 0 63 62 172 109
Back Back 0 0 62 78 172 110
Back LShiftKey -3 13 78 312 1934 1856
LShiftKey W 2 -2 312 125 234 -78
W H -1 -4 125 93 172 47
H E 1 3 93 125 62 -31
E N -2 -3 125 47 187 62
N J 1 -1 47 47 0 -47
J Back 2 -6 47 109 1092 1045
Back Space -4 9 109 109 234 125
Space LShiftKey 1 4 109 218 172 63
LShiftKey I 2 -8 218 78 125 -93
I Space -3 4 78 140 109 31
Space Q 3 3 140 125 140 0
Q S -1 -1 125 187 312 187
S A 0 1 187 78 0 -187
A Back 2 -12 78 78 328 250
Back Back 0 0 78 63 140 62
Back Back 0 0 63 93 172 109
Back W -1 11 93 78 655 562
W A -1 1 78 156 203 125
A S 0 -1 156 141 93 -63
S Space -2 -2 141 156 156 15
Space D1 4 3 156 140 1264 1108
D1 D7 0 -6 140 94 109 -31
D7 OemPeriod -3 -2 94 110 1045 951
OemPeriod Back 3 -4 110 125 390 280
Back Oemcomma -3 5 125 109 297 172
Oemcomma Space -1 4 109 110 171 62
Space LShiftKey 1 4 110 188 78 -32
LShiftKey I 2 -8 188 109 110 -78
I Space -3 4 109 110 124 15
Space R 3 0 110 203 156 46
R E 0 1 203 109 110 -93
E A -1 2 109 171 234 125
A D 0 -2 171 156 124 -47
D Space -2 -1 156 140 141 -15
Space A 2 3 140 172 639 499
A Space -2 -3 172 125 141 -31
Space Q 3 3 125 110 483 358
Q U 0 -6 110 203 624 514
U O 0 -2 203 125 141 -62
O T 0 4 125 109 764 639
T E 0 2 109 140 63 -46
E Space -3 -1 140 109 530 390
Space T 3 -1 109 78 359 250
T H -1 -1 78 124 203 125
H A 0 5 124 78 483 359
A T 1 -4 78 187 63 -15
T Space -3 1 187 172 140 -47
Space W 3 2 172 156 936 764
W E 0 -1 156 188 62 -94
E N -2 -3 188 140 188 0
N T 2 1 140 156 202 62
T Space -3 1 156 140 1342 1186
Space S 2 2 140 78 406 266
S O 1 -7 78 109 78 0
O M -2 2 109 140 234 125
M E 2 4 140 94 62 -78
E T 0 -2 94 124 250 156
T H -1 -1 124 156 140 16
H I 1 -2 156 141 109 -47
I N -2 2 141 141 234 93
N G 1 1 141 156 63 -78
G Space -2 1 156 140 109 -47
Space L 2 -5 140 141 171 31
L I 1 1 141 78 234 93
I K -1 0 78 156 172 94
