D5 D0 0 -5 156 94 187 31
D0 D1 0 9 94 141 234 140
D1 D6 0 -5 141 110 343 202
D6 D9 0 -3 110 78 281 171
D9 D2 0 7 78 140 281 203
D2 D7 0 -5 140 63 499 359
D7 D7 0 0 63 78 156 93
D7 Back 0 -6 78 63 2028 1950
Back Back 0 0 63 94 156 93
Back Back 0 0 94 62 172 78
Back Back 0 0 62 63 171 109
Back Back 0 0 63 63 156 93
Back Back 0 0 63 62 172 109
Back Back 0 0 62 110 140 78
Back Back 0 0 110 110 780 670
Back D9 0 4 110 110 624 514
D9 D2 0 7 110 125 94 -16
D2 D7 0 -5 125 78 343 218
D7 D7 0 0 78 93 141 63
D7 D2 0 5 93 109 2043 1950
D2 LShiftKey -3 2 109 265 11388 11279
LShiftKey M 0 -7 265 63 156 -109
M Y 2 1 63 109 281 218
Y Space -3 2 109 125 78 -31
Space T 3 -1 125 94 234 109
T H -1 -1 94 94 109 15
H I 1 -2 94 94 187 93
I R 0 4 94 94 234 140
R D -1 1 94 78 250 156
D Space -2 -1 78 124 94 16
Space S 2 2 124 140 312 188
S T 1 -3 140 93 265 125
T O 0 -4 93 109 156 63
O R 0 5 109 78 156 47
R Y 0 -2 78 125 234 156
Y Space -3 2 125 94 93 -32
Space I 3 -4 94 78 203 109
I S -1 6 78 110 265 187
S Space -2 -2 110 94 125 15
Space A 2 3 94 93 141 47
A B -1 -4 93 93 109 16
B O 2 -4 93 125 78 -15
O U 0 2 125 93 203 78
U T 0 2 93 78 156 63
T Space -3 1 78 94 93 15
Space D 2 1 94 110 811 717
D E 1 0 110 156 281 171
E A -1 2 156 125 94 -62
A T 1 -4 125 94 218 93
T H -1 -1 94 78 172 78
H OemPeriod -1 -3 78 78 499 421
OemPeriod Return 1 -3 78 94 218 140
Return LShiftKey -1 12 94 624 734 640
LShiftKey W 2 -2 624 125 530 -94
W Back 1 -11 125 93 1233 1108
Back LShiftKey -3 13 93 577 218 125
LShiftKey W 2 -2 577 124 484 -93
W H -1 -4 124 78 265 141
H E 1 3 78 94 93 15
E N -2 -3 94 94 125 31
N Space -1 2 94 125 125 31
Space LShiftKey 1 4 125 250 234 109
LShiftKey I 2 -8 250 78 203 -47
I Space -3 4 78 110 93 15
Space W 3 2 110 156 156 46
W A -1 1 156 172 47 -109
A S 0 -1 172 140 250 78
S Space -2 -2 140 156 156 16
Space D1 4 3 156 125 546 390
D1 D7 0 -6 125 109 1154 1029
D7 Oemcomma -3 -1 109 78 640 531
Oemcomma Space -1 4 78 109 156 78
Space LShiftKey 1 4 109 234 62 -47
LShiftKey I 2 -8 234 125 156 -78
I Space -3 4 125 125 94 -31
Space R 3 0 125 94 733 608
R E 0 1 94 156 203 109
E A -1 2 156 109 109 -47
A D 0 -2 109 93 203 94
D Space -2 -1 93 109 140 47
Space A 2 3 109 94 203 94
A Space -2 -3 94 109 78 -16
