D9 D2 0 7 140 156 125 -15
D2 D8 0 -6 156 78 171 15
D8 D8 0 0 78 109 141 63
D8 LShiftKey -3 8 109 484 16239 16130
LShiftKey S 1 -2 484 124 344 -140
S T 1 -3 124 125 280 156
T E 0 2 125 156 156 31
E V -2 -1 156 109 484 328
V E 2 1 109 187 125 16
E T 0 -2 187 109 234 47
T Space -3 1 109 141 140 31
Space Back 4 -9 141 78 1139 998
Back Back 0 0 78 109 156 78
Back Space -4 9 109 171 203 94
Space LShiftKey 1 4 171 328 374 203
LShiftKey J 1 -7 328 94 281 -47
J O 1 -2 94 110 218 124
O B -2 4 110 109 250 140
B S 1 3 109 109 858 749
S Oem7 0 -9 109 109 203 94
Oem7 Space -2 7 109 156 203 94
Space C 1 1 156 140 452 296
C O 2 -6 140 93 515 375
O M -2 2 93 109 515 422
M M 0 0 109 109 171 62
M E 2 4 109 125 125 16
E N -2 -3 125 109 109 -16
N C 0 3 109 156 343 234
C E 2 0 156 156 203 47
E M -2 -4 156 140 203 47
M E 2 4 140 140 203 63
E N -2 -3 140 109 125 -15
N T 2 1 109 156 78 -31
T Space -3 1 156 125 124 -32
Space S 2 2 125 94 406 281
S P 1 -8 94 125 140 46
P E 0 7 125 93 141 16
E E 0 0 93 109 187 94
E C -2 0 109 110 218 109
C H 1 -3 110 125 359 249
H Space -2 2 125 141 109 -16
Space A 2 3 141 156 219 78
A T 1 -4 156 156 203 47
T Space -3 1 156 141 93 -63
Space LShiftKey 1 4 141 421 234 93
LShiftKey S 1 -2 421 140 250 -171
S T 1 -3 140 140 437 297
T A -1 4 140 141 124 -16
A N -1 -5 141 124 266 125
N F 1 2 124 109 187 63
F O 1 -5 109 94 171 62
O R 0 5 94 78 203 109
R D -1 1 78 140 219 141
D Space -2 -1 140 125 109 -31
Space LShiftKey 1 4 125 390 171 46
LShiftKey U 2 -7 390 125 250 -140
U N -2 1 125 78 265 140
N I 2 -2 78 109 203 125
I E 0 5 109 140 172 63
